Board,EventN,TrigTime,ADC
 0 , 0 , 3530800 , 1913.000000
 0 , 1 , 6460464 , 2058.000000
 1 , 0 , 2124432 , 2181.000000
 1 , 1 , 5054100 , 2086.000000
 2 , 0 , 718288 , 2108.000000
 2 , 1 , 3647958 , 2105.000000
 2 , 2 , 6577630 , 2091.000000
 3 , 0 , 2241798 , 2082.000000
 3 , 1 , 5171468 , 2220.000000
 4 , 0 , 834806 , 2041.000000
 4 , 1 , 3764474 , 2075.000000
 5 , 0 , 2358946 , 2250.000000
 5 , 1 , 5288618 , 2278.000000
 0 , 2 , 9390130 , 2148.000000
 0 , 3 , 12319796 , 2345.000000
 1 , 2 , 7983770 , 2162.000000
 1 , 3 , 10913440 , 2088.000000
 2 , 3 , 9507300 , 2096.000000
 2 , 4 , 12436972 , 2014.000000
 3 , 2 , 8101136 , 2397.000000
 3 , 3 , 11030806 , 2184.000000
 4 , 2 , 6694142 , 2042.000000
 4 , 3 , 9623810 , 2065.000000
 5 , 2 , 8218290 , 2180.000000
 5 , 3 , 11147960 , 2052.000000
 0 , 4 , 15249460 , 2236.000000
 0 , 5 , 18179126 , 2093.000000
 1 , 4 , 13843108 , 2161.000000
 1 , 5 , 16772778 , 2106.000000
 2 , 5 , 15366642 , 2081.000000
 2 , 6 , 18296314 , 2077.000000
 3 , 4 , 13960474 , 2090.000000
 3 , 5 , 16890144 , 1945.000000
 4 , 4 , 12553478 , 2042.000000
 4 , 5 , 15483146 , 2063.000000
 5 , 4 , 14077632 , 1875.000000
 0 , 6 , 21108792 , 1905.000000
 0 , 7 , 24038456 , 1805.000000
 1 , 6 , 19702448 , 2097.000000
 1 , 7 , 22632116 , 2065.000000
 2 , 7 , 21225984 , 2064.000000
 3 , 6 , 19819814 , 1831.000000
 4 , 6 , 18412816 , 2042.000000
 4 , 7 , 21342484 , 2032.000000
 5 , 5 , 17007304 , 1867.000000
 5 , 6 , 19936974 , 1671.000000
 0 , 8 , 26968122 , 1727.000000
