Board,EventN,TrigTime,ADC
 1 , 33 , 99470078 , 2078.000000
 2 , 33 , 98063858 , 2080.000000
 3 , 32 , 96657808 , 2086.000000
 0 , 34 , 100876570 , 2104.000000
 3 , 33 , 99587478 , 2049.000000
 0 , 35 , 103806240 , 1983.000000
 1 , 34 , 102399746 , 1991.000000
 2 , 34 , 100993526 , 1886.000000
 1 , 35 , 105329414 , 1820.000000
 2 , 35 , 103923194 , 1824.000000
 3 , 34 , 102517148 , 2150.000000
 0 , 36 , 106735910 , 1822.000000
 3 , 35 , 105446820 , 2081.000000
 0 , 37 , 109665582 , 1651.000000
 1 , 36 , 108259084 , 1712.000000
 2 , 36 , 106852860 , 1661.000000
 2 , 37 , 109782528 , 1802.000000
 3 , 36 , 108376490 , 2058.000000
 0 , 38 , 112595252 , 1802.000000
 1 , 37 , 111188752 , 1783.000000
 0 , 39 , 115524922 , 1928.000000
 1 , 38 , 114118420 , 1915.000000
 2 , 38 , 112712196 , 1847.000000
 3 , 37 , 111306160 , 2087.000000
 2 , 39 , 115641864 , 1984.000000
 3 , 38 , 114235832 , 2028.000000
 0 , 40 , 118454594 , 2046.000000
 1 , 39 , 117048090 , 2050.000000
 0 , 41 , 121384264 , 2181.000000
 1 , 40 , 119977758 , 2219.000000
 2 , 40 , 118571532 , 2123.000000
 3 , 39 , 117165502 , 2080.000000
 0 , 42 , 124313934 , 2239.000000
 1 , 41 , 122907426 , 2305.000000
 2 , 41 , 121501200 , 2242.000000
 3 , 40 , 120095174 , 2139.000000
 2 , 42 , 124430866 , 2172.000000
 3 , 41 , 123024844 , 2074.000000
 0 , 43 , 127243606 , 2212.000000
 1 , 42 , 125837096 , 2235.000000
 0 , 44 , 130173276 , 2090.000000
 1 , 43 , 128766764 , 2174.000000
 2 , 43 , 127360534 , 2083.000000
 3 , 42 , 125954514 , 2092.000000
 2 , 44 , 130290202 , 1914.000000
 3 , 43 , 128884186 , 2045.000000
 0 , 45 , 133102946 , 1968.000000
 1 , 44 , 131696432 , 1980.000000
 1 , 45 , 134626102 , 1866.000000
 2 , 45 , 133219870 , 1813.000000
 3 , 44 , 131813856 , 2050.000000
 0 , 46 , 136032618 , 1846.000000
 3 , 45 , 134743528 , 2087.000000
 0 , 47 , 138962288 , 1631.000000
 1 , 46 , 137555770 , 1707.000000
 2 , 46 , 136149538 , 1665.000000
 1 , 47 , 140485438 , 1816.000000
 2 , 47 , 139079206 , 1775.000000
 3 , 46 , 137673198 , 2051.000000
 0 , 48 , 141891958 , 1781.000000
 3 , 47 , 140602868 , 2113.000000
 0 , 49 , 144821630 , 1899.000000
 1 , 48 , 143415108 , 1925.000000
 2 , 48 , 142008874 , 1862.000000
 2 , 49 , 144938540 , 2059.000000
 3 , 48 , 143532540 , 2081.000000
 0 , 50 , 147751300 , 2015.000000
 1 , 49 , 146344776 , 2075.000000
 0 , 51 , 150680970 , 2181.000000
 1 , 50 , 149274444 , 2183.000000
 2 , 50 , 147868208 , 2100.000000
 3 , 49 , 146462210 , 2056.000000
 2 , 51 , 150797876 , 2313.000000
 3 , 50 , 149391882 , 2087.000000
 0 , 52 , 153610642 , 2310.000000
 1 , 51 , 152204114 , 2297.000000
 0 , 53 , 156540312 , 2244.000000
 1 , 52 , 155133782 , 2206.000000
 2 , 52 , 153727544 , 2155.000000
 3 , 51 , 152321552 , 2029.000000
 3 , 52 , 155251222 , 2082.000000
 0 , 54 , 159469982 , 2077.000000
 1 , 53 , 158063450 , 2091.000000
 2 , 53 , 156657212 , 2112.000000
 1 , 54 , 160993120 , 1967.000000
 2 , 54 , 159586880 , 1895.000000
 3 , 53 , 158180894 , 2138.000000
 0 , 55 , 162399654 , 1904.000000
 3 , 54 , 161110564 , 2073.000000
 0 , 56 , 165329324 , 1854.000000
 1 , 55 , 163922788 , 1844.000000
 2 , 55 , 162516548 , 1855.000000
 1 , 56 , 166852456 , 1710.000000
 2 , 56 , 165446214 , 1689.000000
 3 , 55 , 164040236 , 2149.000000
 0 , 57 , 168258994 , 1721.000000
 0 , 58 , 171188666 , 1788.000000
 1 , 57 , 169782126 , 1787.000000
 2 , 57 , 168375882 , 1735.000000
 3 , 56 , 166969906 , 2065.000000
 2 , 58 , 171305550 , 1896.000000
 3 , 57 , 169899576 , 2051.000000
 0 , 59 , 174118336 , 1921.000000
 1 , 58 , 172711794 , 1920.000000
 0 , 60 , 177048006 , 1978.000000
 1 , 59 , 175641462 , 2092.000000
 2 , 59 , 174235218 , 1987.000000
 3 , 58 , 172829248 , 2086.000000
 2 , 60 , 177164886 , 2152.000000
 3 , 59 , 175758918 , 2050.000000
 0 , 61 , 179977678 , 2157.000000
 1 , 60 , 178571132 , 2252.000000
 1 , 61 , 181500800 , 2313.000000
 2 , 61 , 180094554 , 2248.000000
 3 , 60 , 178688590 , 2081.000000
 0 , 62 , 182907348 , 2298.000000
 3 , 61 , 181618260 , 2082.000000
 0 , 63 , 185837018 , 2226.000000
 1 , 62 , 184430468 , 2302.000000
 2 , 62 , 183024220 , 2210.000000
 1 , 63 , 187360138 , 2090.000000
 2 , 63 , 185953888 , 2061.000000
 3 , 62 , 184547930 , 2059.000000
 0 , 64 , 188766690 , 2104.000000
 3 , 63 , 187477602 , 2092.000000
 0 , 65 , 191696360 , 1890.000000
 1 , 64 , 190289806 , 1997.000000
 2 , 64 , 188883556 , 1953.000000
 2 , 65 , 191813224 , 1798.000000
 3 , 64 , 190407272 , 2026.000000
 0 , 66 , 194626030 , 1827.000000
 1 , 65 , 193219474 , 1830.000000
 0 , 67 , 197555702 , 1693.000000
 1 , 66 , 196149144 , 1741.000000
 2 , 66 , 194742892 , 1699.000000
 3 , 65 , 193336942 , 2081.000000
 2 , 67 , 197672560 , 1751.000000
 3 , 66 , 196266614 , 2139.000000
 0 , 68 , 200485372 , 1759.000000
 1 , 67 , 199078812 , 1797.000000
 0 , 69 , 203415042 , 1926.000000
 1 , 68 , 202008480 , 1947.000000
 2 , 68 , 200602228 , 1901.000000
 3 , 67 , 199196284 , 2073.000000
 3 , 68 , 202125956 , 2151.000000
 0 , 70 , 206344714 , 2055.000000
 1 , 69 , 204938150 , 2024.000000
 2 , 69 , 203531894 , 1995.000000
 1 , 70 , 207867818 , 2168.000000
 2 , 70 , 206461562 , 2160.000000
 3 , 69 , 205055626 , 2065.000000
 0 , 71 , 209274384 , 2192.000000
 3 , 70 , 207985296 , 2052.000000
 0 , 72 , 212204054 , 2282.000000
 1 , 71 , 210797486 , 2282.000000
 2 , 71 , 209391230 , 2221.000000
 1 , 72 , 213727156 , 2227.000000
 2 , 72 , 212320898 , 2208.000000
 3 , 71 , 210914968 , 2086.000000
 0 , 73 , 215133724 , 2198.000000
 0 , 74 , 218063396 , 2112.000000
 1 , 73 , 216656824 , 2094.000000
 2 , 73 , 215250566 , 2015.000000
 3 , 72 , 213844638 , 2049.000000
 2 , 74 , 218180234 , 1955.000000
 3 , 73 , 216774310 , 2081.000000
 0 , 75 , 220993066 , 1980.000000
 1 , 74 , 219586492 , 1973.000000
 0 , 76 , 223922736 , 1857.000000
 1 , 75 , 222516162 , 1845.000000
 2 , 75 , 221109902 , 1759.000000
 3 , 74 , 219703980 , 2083.000000
 2 , 76 , 224039568 , 1653.000000
 3 , 75 , 222633650 , 2054.000000
 0 , 77 , 226852408 , 1719.000000
 1 , 76 , 225445830 , 1711.000000
 1 , 77 , 228375498 , 1791.000000
 2 , 77 , 226969236 , 1739.000000
 3 , 76 , 225563322 , 2091.000000
 0 , 78 , 229782078 , 1727.000000
 3 , 77 , 228492992 , 2027.000000
 0 , 79 , 232711748 , 1933.000000
 1 , 78 , 231305168 , 1928.000000
 2 , 78 , 229898904 , 1929.000000
 1 , 79 , 234234836 , 2124.000000
 2 , 79 , 232828572 , 1998.000000
 3 , 78 , 231422664 , 2051.000000
 0 , 80 , 235641420 , 2040.000000
 3 , 79 , 234352334 , 2048.000000
 0 , 81 , 238571090 , 2155.000000
 1 , 80 , 237164504 , 2182.000000
 2 , 80 , 235758240 , 2112.000000
 2 , 81 , 238687908 , 2252.000000
 3 , 80 , 237282004 , 2071.000000
 0 , 82 , 241500760 , 2308.000000
 1 , 81 , 240094174 , 2329.000000
 0 , 83 , 244430432 , 2147.000000
 1 , 82 , 243023842 , 2216.000000
 2 , 82 , 241617576 , 2165.000000
 3 , 81 , 240211676 , 2151.000000
 2 , 83 , 244547242 , 2044.000000
 3 , 82 , 243141346 , 2065.000000
 0 , 84 , 247360102 , 2082.000000
 1 , 83 , 245953510 , 2121.000000
 0 , 85 , 250289772 , 1964.000000
 1 , 84 , 248883180 , 1978.000000
 2 , 84 , 247476910 , 1940.000000
 3 , 83 , 246071018 , 2055.000000
 3 , 84 , 249000688 , 2087.000000
 0 , 86 , 253219444 , 1810.000000
 1 , 85 , 251812848 , 1869.000000
 2 , 85 , 250406578 , 1789.000000
 1 , 86 , 254742516 , 1722.000000
 2 , 86 , 253336246 , 1686.000000
 3 , 85 , 251930358 , 2050.000000
 0 , 87 , 256149114 , 1715.000000
 3 , 86 , 254860030 , 2081.000000
 0 , 88 , 259078784 , 1709.000000
 1 , 87 , 257672186 , 1813.000000
 2 , 87 , 256265914 , 1737.000000
 1 , 88 , 260601854 , 1896.000000
 2 , 88 , 259195582 , 1892.000000
 3 , 87 , 257789700 , 2083.000000
 0 , 89 , 262008456 , 1930.000000
 0 , 90 , 264938126 , 2027.000000
 1 , 89 , 263531522 , 2041.000000
 2 , 89 , 262125248 , 1973.000000
 3 , 88 , 260719370 , 2055.000000
 2 , 90 , 265054916 , 2187.000000
 3 , 89 , 263649042 , 2093.000000
 0 , 91 , 267867796 , 2141.000000
 1 , 90 , 266461192 , 2172.000000
 0 , 92 , 270797468 , 2318.000000
 1 , 91 , 269390860 , 2304.000000
 2 , 91 , 267984584 , 2229.000000
 3 , 90 , 266578712 , 2027.000000
 2 , 92 , 270914252 , 2239.000000
 3 , 91 , 269508384 , 2052.000000
 0 , 93 , 273727138 , 2155.000000
 1 , 92 , 272320528 , 2225.000000
 1 , 93 , 275250198 , 2144.000000
 2 , 93 , 273843920 , 2021.000000
 3 , 92 , 272438054 , 2139.000000
 0 , 94 , 276656808 , 2110.000000
 3 , 93 , 275367724 , 2072.000000
 0 , 95 , 279586480 , 1974.000000
 1 , 94 , 278179866 , 1972.000000
 2 , 94 , 276773588 , 1980.000000
 1 , 95 , 281109534 , 1842.000000
 2 , 95 , 279703256 , 1767.000000
 3 , 94 , 278297396 , 2114.000000
 0 , 96 , 282516150 , 1816.000000
 3 , 95 , 281227066 , 2064.000000
 0 , 97 , 285445820 , 1729.000000
 1 , 96 , 284039204 , 1756.000000
 2 , 96 , 282632922 , 1656.000000
 2 , 97 , 285562590 , 1769.000000
 3 , 96 , 284156738 , 2055.000000
 0 , 98 , 288375492 , 1779.000000
 1 , 97 , 286968872 , 1803.000000
 0 , 99 , 291305162 , 1914.000000
 1 , 98 , 289898540 , 1995.000000
 2 , 98 , 288492258 , 1861.000000
 3 , 97 , 287086408 , 2083.000000
 2 , 99 , 291421926 , 2025.000000
 3 , 98 , 290016078 , 2049.000000
 0 , 100 , 294234832 , 2052.000000
 1 , 99 , 292828210 , 2039.000000
 0 , 101 , 297164504 , 2092.000000
 1 , 100 , 295757878 , 2203.000000
 2 , 100 , 294351594 , 2116.000000
 3 , 99 , 292945750 , 2081.000000
 3 , 100 , 295875420 , 2085.000000
 0 , 102 , 300094174 , 2291.000000
 1 , 101 , 298687546 , 2289.000000
 2 , 101 , 297281262 , 2279.000000
 1 , 102 , 301617216 , 2259.000000
 2 , 102 , 300210930 , 2171.000000
 3 , 101 , 298805092 , 2072.000000
 0 , 103 , 303023844 , 2222.000000
 3 , 102 , 301734762 , 2091.000000
 0 , 104 , 305953516 , 2065.000000
 1 , 103 , 304546884 , 2106.000000
 2 , 103 , 303140596 , 2081.000000
 1 , 104 , 307476552 , 1998.000000
 2 , 104 , 306070264 , 1928.000000
 3 , 103 , 304664432 , 2027.000000
 0 , 105 , 308883186 , 1978.000000
 0 , 106 , 311812856 , 1782.000000
 1 , 105 , 310406222 , 1823.000000
 2 , 105 , 308999932 , 1822.000000
 3 , 104 , 307594104 , 2054.000000
 2 , 106 , 311929600 , 1673.000000
 3 , 105 , 310523774 , 2137.000000
 0 , 107 , 314742528 , 1727.000000
 1 , 106 , 313335890 , 1707.000000
 0 , 108 , 317672198 , 1771.000000
 1 , 107 , 316265558 , 1769.000000
 2 , 107 , 314859268 , 1775.000000
 3 , 106 , 313453444 , 2073.000000
 2 , 108 , 317788936 , 1880.000000
 3 , 107 , 316383116 , 2152.000000
 0 , 109 , 320601868 , 1888.000000
 1 , 108 , 319195228 , 1920.000000
 1 , 109 , 322124896 , 2045.000000
 2 , 109 , 320718602 , 2033.000000
 3 , 108 , 319312786 , 2065.000000
 0 , 110 , 323531540 , 2062.000000
 3 , 109 , 322242458 , 2058.000000
 0 , 111 , 326461210 , 2180.000000
 1 , 110 , 325054564 , 2173.000000
 2 , 110 , 323648270 , 2091.000000
 1 , 111 , 327984234 , 2305.000000
 2 , 111 , 326577938 , 2287.000000
 3 , 110 , 325172128 , 2086.000000
 0 , 112 , 329390880 , 2320.000000
 3 , 111 , 328101798 , 2050.000000
 0 , 113 , 332320552 , 2228.000000
 1 , 112 , 330913902 , 2274.000000
 2 , 112 , 329507606 , 2141.000000
 2 , 113 , 332437274 , 2082.000000
 3 , 112 , 331031470 , 2079.000000
 0 , 114 , 335250222 , 2032.000000
 1 , 113 , 333843570 , 2099.000000
 0 , 115 , 338179892 , 1986.000000
 1 , 114 , 336773240 , 1982.000000
 2 , 114 , 335366942 , 1885.000000
 3 , 113 , 333961140 , 2083.000000
 2 , 115 , 338296610 , 1825.000000
 3 , 114 , 336890812 , 2072.000000
 0 , 116 , 341109564 , 1788.000000
 1 , 115 , 339702908 , 1885.000000
 0 , 117 , 344039234 , 1709.000000
 1 , 116 , 342632576 , 1726.000000
 2 , 116 , 341226276 , 1661.000000
 3 , 115 , 339820482 , 2093.000000
 3 , 116 , 342750152 , 2029.000000
 0 , 118 , 346968904 , 1791.000000
 1 , 117 , 345562246 , 1812.000000
 2 , 117 , 344155944 , 1727.000000
 1 , 118 , 348491914 , 1908.000000
 2 , 118 , 347085612 , 1867.000000
 3 , 117 , 345679824 , 2052.000000
 0 , 119 , 349898576 , 1834.000000
 3 , 118 , 348609494 , 2138.000000
 0 , 120 , 352828246 , 2028.000000
 1 , 119 , 351421582 , 2071.000000
 2 , 119 , 350015280 , 1984.000000
 1 , 120 , 354351252 , 2185.000000
 2 , 120 , 352944948 , 2120.000000
 3 , 119 , 351539166 , 2050.000000
 0 , 121 , 355757916 , 2124.000000
 0 , 122 , 358687588 , 2271.000000
 1 , 121 , 357280920 , 2335.000000
 2 , 121 , 355874616 , 2240.000000
 3 , 120 , 354468836 , 2150.000000
 2 , 122 , 358804284 , 2173.000000
 3 , 121 , 357398506 , 2063.000000
 0 , 123 , 361617258 , 2236.000000
 1 , 122 , 360210588 , 2235.000000
 0 , 124 , 364546928 , 2016.000000
 1 , 123 , 363140258 , 2118.000000
 2 , 123 , 361733950 , 2079.000000
 3 , 122 , 360328178 , 2056.000000
 2 , 124 , 364663618 , 1918.000000
 3 , 123 , 363257848 , 2087.000000
 0 , 125 , 367476600 , 1984.000000
 1 , 124 , 366069926 , 1952.000000
 1 , 125 , 368999594 , 1863.000000
 2 , 125 , 367593286 , 1826.000000
 3 , 124 , 366187520 , 2026.000000
 0 , 126 , 370406270 , 1820.000000
 3 , 125 , 369117190 , 2078.000000
 0 , 127 , 373335940 , 1681.000000
 1 , 126 , 371929264 , 1709.000000
 2 , 126 , 370522954 , 1661.000000
 2 , 127 , 373452622 , 1765.000000
 3 , 126 , 372046860 , 2084.000000
 0 , 128 , 376265612 , 1803.000000
 1 , 127 , 374858932 , 1792.000000
 0 , 129 , 379195282 , 1930.000000
 1 , 128 , 377788600 , 1915.000000
