Board,EventN,TrigTime,ADC
 0 , 0 , 2211606 , 2304.000000
 0 , 1 , 5141276 , 2150.000000
 1 , 0 , 805364 , 2101.000000
 1 , 1 , 3735032 , 2171.000000
 2 , 0 , 2328106 , 2216.000000
 3 , 0 , 922594 , 2202.000000
 1 , 2 , 6664700 , 2104.000000
 2 , 1 , 5257774 , 2019.000000
 3 , 1 , 3852266 , 2067.000000
 0 , 2 , 8070946 , 2088.000000
 3 , 2 , 6781936 , 1968.000000
 0 , 3 , 11000618 , 1954.000000
 1 , 3 , 9594368 , 2135.000000
 2 , 2 , 8187442 , 1958.000000
 1 , 4 , 12524038 , 2084.000000
 2 , 3 , 11117110 , 1797.000000
 3 , 3 , 9711606 , 1804.000000
 0 , 4 , 13930288 , 1817.000000
 3 , 4 , 12641278 , 1710.000000
 0 , 5 , 16859958 , 1726.000000
 1 , 5 , 15453706 , 2121.000000
 2 , 4 , 14046776 , 1658.000000
 2 , 5 , 16976444 , 1736.000000
 3 , 5 , 15570948 , 1775.000000
 0 , 6 , 19789628 , 1701.000000
 1 , 6 , 18383374 , 2083.000000
 0 , 7 , 22719300 , 1929.000000
 1 , 7 , 21313044 , 2123.000000
 2 , 6 , 19906112 , 1849.000000
 3 , 6 , 18500620 , 1897.000000
 2 , 7 , 22835780 , 1992.000000
 3 , 7 , 21430290 , 2038.000000
 0 , 8 , 25648970 , 2020.000000
 1 , 8 , 24242712 , 2100.000000
 0 , 9 , 28578640 , 2137.000000
 1 , 9 , 27172380 , 2124.000000
 2 , 8 , 25765448 , 2108.000000
 3 , 8 , 24359960 , 2098.000000
 0 , 10 , 31508312 , 2311.000000
 1 , 10 , 30102048 , 2100.000000
 2 , 9 , 28695114 , 2242.000000
 3 , 9 , 27289632 , 2251.000000
 2 , 10 , 31624782 , 2214.000000
 3 , 10 , 30219302 , 2274.000000
 0 , 11 , 34437982 , 2239.000000
 1 , 11 , 33031718 , 2113.000000
 0 , 12 , 37367652 , 2119.000000
 1 , 12 , 35961386 , 2071.000000
 2 , 11 , 34554450 , 2049.000000
 3 , 11 , 33148974 , 2061.000000
 2 , 12 , 37484118 , 1958.000000
 3 , 12 , 36078644 , 1996.000000
 0 , 13 , 40297322 , 1947.000000
 1 , 13 , 38891054 , 2088.000000
 1 , 14 , 41820724 , 2090.000000
 2 , 13 , 40413786 , 1793.000000
 3 , 13 , 39008314 , 1800.000000
 0 , 14 , 43226994 , 1785.000000
 3 , 14 , 41937986 , 1686.000000
 0 , 15 , 46156664 , 1730.000000
 1 , 15 , 44750392 , 2093.000000
 2 , 14 , 43343454 , 1700.000000
 1 , 16 , 47680060 , 2088.000000
 2 , 15 , 46273120 , 1710.000000
 3 , 15 , 44867656 , 1776.000000
 0 , 16 , 49086334 , 1795.000000
 3 , 16 , 47797328 , 1847.000000
 0 , 17 , 52016006 , 1908.000000
 1 , 17 , 50609728 , 2090.000000
 2 , 16 , 49202788 , 1927.000000
 2 , 17 , 52132456 , 1967.000000
 3 , 17 , 50726998 , 2027.000000
 0 , 18 , 54945676 , 2043.000000
 1 , 18 , 53539398 , 2096.000000
 0 , 19 , 57875346 , 2105.000000
 1 , 19 , 56469066 , 2092.000000
 2 , 18 , 55062124 , 2182.000000
 3 , 18 , 53656668 , 2157.000000
 2 , 19 , 57991792 , 2221.000000
 3 , 19 , 56586340 , 2275.000000
 0 , 20 , 60805016 , 2315.000000
 1 , 20 , 59398734 , 2096.000000
 0 , 21 , 63734688 , 2180.000000
 1 , 21 , 62328404 , 2106.000000
 2 , 20 , 60921460 , 2243.000000
 3 , 20 , 59516010 , 2229.000000
 3 , 21 , 62445682 , 2070.000000
 0 , 22 , 66664358 , 2101.000000
 1 , 22 , 65258072 , 2134.000000
 2 , 21 , 63851126 , 2081.000000
 1 , 23 , 68187740 , 2106.000000
 2 , 22 , 66780794 , 1921.000000
 3 , 22 , 65375352 , 1935.000000
 0 , 23 , 69594028 , 1980.000000
 3 , 23 , 68305022 , 1896.000000
 0 , 24 , 72523700 , 1760.000000
 1 , 24 , 71117408 , 2134.000000
 2 , 23 , 69710462 , 1823.000000
 1 , 25 , 74047078 , 2082.000000
 2 , 24 , 72640130 , 1663.000000
 3 , 24 , 71234694 , 1680.000000
 0 , 25 , 75453370 , 1704.000000
 0 , 26 , 78383040 , 1779.000000
 1 , 26 , 76976746 , 2121.000000
 2 , 25 , 75569798 , 1764.000000
 3 , 25 , 74164364 , 1841.000000
 2 , 26 , 78499464 , 1871.000000
 3 , 26 , 77094036 , 1899.000000
 0 , 27 , 81312710 , 1895.000000
