Board,EventN,TrigTime,ADC
 0 , 0 , 2951906 , 1985.000000
 0 , 1 , 5881572 , 2050.000000
 1 , 0 , 1545488 , 2023.000000
 1 , 1 , 4475158 , 2098.000000
 1 , 2 , 7404826 , 2206.000000
 2 , 0 , 139242 , 1954.000000
 2 , 1 , 3068914 , 2093.000000
 2 , 2 , 5998584 , 2131.000000
 3 , 0 , 1662702 , 2094.000000
 3 , 1 , 4592372 , 2102.000000
 4 , 0 , 256536 , 2039.000000
 4 , 1 , 3186204 , 2034.000000
 4 , 2 , 6115872 , 2042.000000
 5 , 0 , 1779926 , 2050.000000
 5 , 1 , 4709596 , 2152.000000
 0 , 2 , 8811236 , 2211.000000
 0 , 3 , 11740902 , 2350.000000
 1 , 3 , 10334496 , 2289.000000
 2 , 3 , 8928256 , 2334.000000
 2 , 4 , 11857926 , 2161.000000
 3 , 2 , 7522040 , 2169.000000
 3 , 3 , 10451710 , 2083.000000
 4 , 3 , 9045540 , 2032.000000
 5 , 2 , 7639268 , 2082.000000
 0 , 4 , 14670566 , 2180.000000
 0 , 5 , 17600232 , 2164.000000
 1 , 4 , 13264164 , 2191.000000
 1 , 5 , 16193834 , 2052.000000
 2 , 5 , 14787598 , 2038.000000
 3 , 4 , 13381378 , 2118.000000
 4 , 4 , 11975208 , 2040.000000
 4 , 5 , 14904876 , 2034.000000
 5 , 3 , 10568940 , 2074.000000
 5 , 4 , 13498610 , 2095.000000
 0 , 6 , 20529898 , 1999.000000
 1 , 6 , 19123504 , 1923.000000
 2 , 6 , 17717268 , 1953.000000
 2 , 7 , 20646940 , 1797.000000
 3 , 5 , 16311048 , 2112.000000
 3 , 6 , 19240718 , 2117.000000
 4 , 6 , 17834546 , 2010.000000
 5 , 5 , 16428282 , 2064.000000
 0 , 7 , 23459562 , 1809.000000
 1 , 7 , 22053172 , 1888.000000
 1 , 8 , 24982842 , 1680.000000
 2 , 8 , 23576610 , 1699.000000
 3 , 7 , 22170386 , 2072.000000
 4 , 7 , 20764214 , 2077.000000
 5 , 6 , 19357954 , 2042.000000
 0 , 8 , 26389228 , 1796.000000
 0 , 9 , 29318894 , 1821.000000
 1 , 9 , 27912512 , 1892.000000
 2 , 9 , 26506282 , 1836.000000
 3 , 8 , 25100056 , 2094.000000
 4 , 8 , 23693882 , 2010.000000
 5 , 7 , 22287624 , 2086.000000
 5 , 8 , 25217296 , 2027.000000
 0 , 10 , 32248558 , 1892.000000
 1 , 10 , 30842180 , 1943.000000
 2 , 10 , 29435952 , 1875.000000
 3 , 9 , 28029724 , 2091.000000
 4 , 9 , 26623550 , 2078.000000
 4 , 10 , 29553218 , 2041.000000
 5 , 9 , 28146968 , 2053.000000
 0 , 11 , 35178224 , 2109.000000
 1 , 11 , 33771850 , 2080.000000
 2 , 11 , 32365624 , 2100.000000
 3 , 10 , 30959394 , 2093.000000
 4 , 11 , 32482886 , 2076.000000
 5 , 10 , 31076638 , 2138.000000
 0 , 12 , 38107890 , 2218.000000
 1 , 12 , 36701520 , 2185.000000
 2 , 12 , 35295294 , 2193.000000
 3 , 11 , 33889064 , 2171.000000
 4 , 12 , 35412554 , 2041.000000
 5 , 11 , 34006310 , 2051.000000
 0 , 13 , 41037554 , 2407.000000
 1 , 13 , 39631188 , 2317.000000
 2 , 13 , 38224964 , 2285.000000
 3 , 12 , 36818732 , 2101.000000
 4 , 13 , 38342224 , 2078.000000
 5 , 12 , 36935982 , 2079.000000
 0 , 14 , 43967220 , 2154.000000
 1 , 14 , 42560858 , 2181.000000
 2 , 14 , 41154636 , 2205.000000
 3 , 13 , 39748402 , 2120.000000
 5 , 13 , 39865652 , 2082.000000
 0 , 15 , 46896886 , 1997.000000
 1 , 15 , 45490528 , 2050.000000
 2 , 15 , 44084306 , 2071.000000
 3 , 14 , 42678072 , 2105.000000
 4 , 14 , 41271892 , 2055.000000
 5 , 14 , 42795324 , 2073.000000
 0 , 16 , 49826550 , 1965.000000
 1 , 16 , 48420196 , 2015.000000
 2 , 16 , 47013978 , 1913.000000
 3 , 15 , 45607740 , 2121.000000
 4 , 15 , 44201560 , 2076.000000
 5 , 15 , 45724996 , 2151.000000
 0 , 17 , 52756216 , 1852.000000
 1 , 17 , 51349866 , 1789.000000
 2 , 17 , 49943648 , 1807.000000
 3 , 16 , 48537410 , 2073.000000
 4 , 16 , 47131228 , 2056.000000
 5 , 16 , 48654666 , 2064.000000
 0 , 18 , 55685882 , 1733.000000
 1 , 18 , 54279536 , 1765.000000
 2 , 18 , 52873320 , 1617.000000
