Board,EventN,TrigTime,ADC
 0 , 44 , 131236070 , 2027.000000
 1 , 44 , 129829790 , 2014.000000
 2 , 44 , 131353326 , 1908.000000
 0 , 45 , 134165736 , 1894.000000
 1 , 45 , 132759460 , 2009.000000
 2 , 45 , 134282998 , 1888.000000
 0 , 46 , 137095400 , 1935.000000
 1 , 46 , 135689128 , 1901.000000
 2 , 46 , 137212668 , 1917.000000
 0 , 47 , 140025066 , 1930.000000
 1 , 47 , 138618798 , 1970.000000
 0 , 48 , 142954730 , 1881.000000
 1 , 48 , 141548466 , 1871.000000
 2 , 47 , 140142340 , 1879.000000
 0 , 49 , 145884396 , 1978.000000
 1 , 49 , 144478136 , 1943.000000
 2 , 48 , 143072010 , 1852.000000
 0 , 50 , 148814060 , 1890.000000
 1 , 50 , 147407806 , 1872.000000
 2 , 49 , 146001680 , 1867.000000
 0 , 51 , 151743724 , 1896.000000
 1 , 51 , 150337474 , 1846.000000
 2 , 50 , 148931352 , 1766.000000
 1 , 52 , 153267144 , 1809.000000
 2 , 51 , 151861022 , 1824.000000
 0 , 52 , 154673390 , 1925.000000
 1 , 53 , 156196812 , 1830.000000
 2 , 52 , 154790694 , 1793.000000
 0 , 53 , 157603054 , 1858.000000
 1 , 54 , 159126482 , 1805.000000
 2 , 53 , 157720364 , 1781.000000
 0 , 54 , 160532720 , 1829.000000
 1 , 55 , 162056152 , 1787.000000
 2 , 54 , 160650036 , 1813.000000
 0 , 55 , 163462386 , 1826.000000
 2 , 55 , 163579706 , 1794.000000
 0 , 56 , 166392050 , 1776.000000
 1 , 56 , 164985820 , 1867.000000
 2 , 56 , 166509378 , 1768.000000
 0 , 57 , 169321716 , 1871.000000
 1 , 57 , 167915490 , 1753.000000
 2 , 57 , 169439048 , 1763.000000
 0 , 58 , 172251380 , 1783.000000
 1 , 58 , 170845158 , 1826.000000
 2 , 58 , 172368720 , 1666.000000
 0 , 59 , 175181046 , 1753.000000
 1 , 59 , 173774828 , 1738.000000
 0 , 60 , 178110712 , 1834.000000
 1 , 60 , 176704498 , 1730.000000
 2 , 59 , 175298390 , 1721.000000
 0 , 61 , 181040376 , 1689.000000
 1 , 61 , 179634166 , 1731.000000
 2 , 60 , 178228062 , 1688.000000
 0 , 62 , 183970042 , 1649.000000
 1 , 62 , 182563836 , 1710.000000
 2 , 61 , 181157732 , 1680.000000
 0 , 63 , 186899708 , 1721.000000
 1 , 63 , 185493506 , 1664.000000
 2 , 62 , 184087402 , 1703.000000
 1 , 64 , 188423174 , 1714.000000
 2 , 63 , 187017074 , 1706.000000
 0 , 64 , 189829372 , 1737.000000
 1 , 65 , 191352844 , 1792.000000
 2 , 64 , 189946744 , 1722.000000
 0 , 65 , 192759038 , 1797.000000
 1 , 66 , 194282512 , 1712.000000
 2 , 65 , 192876416 , 1723.000000
 0 , 66 , 195688702 , 1786.000000
 1 , 67 , 197212182 , 1800.000000
 2 , 66 , 195806086 , 1669.000000
 0 , 67 , 198618368 , 1729.000000
 2 , 67 , 198735758 , 1734.000000
 0 , 68 , 201548032 , 1706.000000
 1 , 68 , 200141852 , 1734.000000
 2 , 68 , 201665428 , 1752.000000
 0 , 69 , 204477696 , 1725.000000
 1 , 69 , 203071520 , 1826.000000
 2 , 69 , 204595100 , 1739.000000
 0 , 70 , 207407362 , 1709.000000
 1 , 70 , 206001190 , 1784.000000
 2 , 70 , 207524770 , 1793.000000
 0 , 71 , 210337026 , 1816.000000
 1 , 71 , 208930858 , 1779.000000
 0 , 72 , 213266692 , 1842.000000
 1 , 72 , 211860528 , 1769.000000
 2 , 71 , 210454442 , 1806.000000
 0 , 73 , 216196358 , 1897.000000
 1 , 73 , 214790198 , 1881.000000
 2 , 72 , 213384112 , 1827.000000
 0 , 74 , 219126022 , 1887.000000
 1 , 74 , 217719866 , 1789.000000
 2 , 73 , 216313784 , 1824.000000
 0 , 75 , 222055688 , 1831.000000
 1 , 75 , 220649536 , 1823.000000
 2 , 74 , 219243454 , 1774.000000
 1 , 76 , 223579204 , 1934.000000
 2 , 75 , 222173124 , 1862.000000
 0 , 76 , 224985352 , 1946.000000
 1 , 77 , 226508874 , 1841.000000
 2 , 76 , 225102796 , 1851.000000
 0 , 77 , 227915018 , 1856.000000
 1 , 78 , 229438544 , 1937.000000
 2 , 77 , 228032466 , 1870.000000
 0 , 78 , 230844684 , 1974.000000
 1 , 79 , 232368212 , 1878.000000
 2 , 78 , 230962138 , 1895.000000
 0 , 79 , 233774348 , 1913.000000
 2 , 79 , 233891808 , 1842.000000
 0 , 80 , 236704014 , 1904.000000
 1 , 80 , 235297882 , 1894.000000
 2 , 80 , 236821480 , 1928.000000
 0 , 81 , 239633678 , 1999.000000
 1 , 81 , 238227550 , 1923.000000
 2 , 81 , 239751150 , 1906.000000
 0 , 82 , 242563344 , 1893.000000
 1 , 82 , 241157220 , 1928.000000
 2 , 82 , 242680822 , 1871.000000
 0 , 83 , 245493010 , 1876.000000
 1 , 83 , 244086890 , 1930.000000
 1 , 84 , 247016558 , 1969.000000
 2 , 83 , 245610492 , 1964.000000
 0 , 84 , 248422674 , 1981.000000
 1 , 85 , 249946228 , 2047.000000
 2 , 84 , 248540164 , 1913.000000
 0 , 85 , 251352338 , 1957.000000
 1 , 86 , 252875898 , 1959.000000
 2 , 85 , 251469834 , 1957.000000
 0 , 86 , 254282004 , 2078.000000
 1 , 87 , 255805566 , 2059.000000
 2 , 86 , 254399504 , 1992.000000
 0 , 87 , 257211668 , 2015.000000
 2 , 87 , 257329176 , 1944.000000
 0 , 88 , 260141334 , 2010.000000
 1 , 88 , 258735236 , 1993.000000
 2 , 88 , 260258846 , 1997.000000
 0 , 89 , 263070998 , 2100.000000
 1 , 89 , 261664904 , 2078.000000
 2 , 89 , 263188518 , 2009.000000
 0 , 90 , 266000664 , 1994.000000
 1 , 90 , 264594574 , 2036.000000
 2 , 90 , 266118188 , 2012.000000
 0 , 91 , 268930330 , 1976.000000
 1 , 91 , 267524244 , 2041.000000
 0 , 92 , 271859994 , 2083.000000
 1 , 92 , 270453912 , 2024.000000
 2 , 91 , 269047860 , 2068.000000
 0 , 93 , 274789660 , 2112.000000
 1 , 93 , 273383582 , 2139.000000
 2 , 92 , 271977530 , 1998.000000
 0 , 94 , 277719324 , 2180.000000
 1 , 94 , 276313250 , 2072.000000
 2 , 93 , 274907202 , 2078.000000
 0 , 95 , 280648990 , 2157.000000
 1 , 95 , 279242920 , 2079.000000
 2 , 94 , 277836872 , 2099.000000
 1 , 96 , 282172590 , 2171.000000
 2 , 95 , 280766544 , 2025.000000
 0 , 96 , 283578656 , 2102.000000
 1 , 97 , 285102258 , 2097.000000
 2 , 96 , 283696214 , 2100.000000
 0 , 97 , 286508320 , 2213.000000
 1 , 98 , 288031928 , 2191.000000
 2 , 97 , 286625886 , 2114.000000
 0 , 98 , 289437986 , 2122.000000
 1 , 99 , 290961596 , 2132.000000
 2 , 98 , 289555556 , 2110.000000
 0 , 99 , 292367650 , 2081.000000
 2 , 99 , 292485226 , 2164.000000
 0 , 100 , 295297316 , 2181.000000
 1 , 100 , 293891266 , 2153.000000
 0 , 101 , 298226982 , 2170.000000
 1 , 101 , 296820936 , 2139.000000
 2 , 100 , 295414898 , 2177.000000
 0 , 102 , 301156644 , 2283.000000
 1 , 102 , 299750604 , 2180.000000
 2 , 101 , 298344568 , 2198.000000
 0 , 103 , 304086310 , 2263.000000
 1 , 103 , 302680274 , 2188.000000
 2 , 102 , 301274240 , 2198.000000
 1 , 104 , 305609942 , 2226.000000
 2 , 103 , 304203910 , 2144.000000
 0 , 104 , 307015974 , 2211.000000
 1 , 105 , 308539612 , 2303.000000
